NewDiskID,median
2949,49009.666666666664
2952,62771.5
2953,65053.5
2956,87913.0
2957,67066.33333333333
2958,50362.78125
2959,56364.0
2961,67780.5
2962,57866.07894736842
2964,68568.57142857143
2965,79728.6
2966,80646.0
2967,54623.3
2968,62966.666666666664
2969,43649.0
2970,71842.57407407407
2975,56530.7
2977,41703.5
2978,51655.0
2980,58272.333333333336
2981,35244.333333333336
2983,53670.75
2984,41688.0
2989,54637.333333333336
2992,65774.0
2995,116823.0
2999,53365.5
3000,44661.57894736842
3003,80954.33333333333
3004,69469.08695652174
3007,96262.0
3010,61544.0
3014,50641.42323651452
3015,49674.5
3017,57481.94117647059
3018,48198.967741935485
3021,71241.0
3022,71320.0
3023,74281.0
3025,101275.0
3026,64845.0
3029,64047.0
3031,70938.875
3032,86715.72222222222
3034,58548.36363636364
3035,63973.666666666664
3037,99945.5
3042,66814.0
3046,31177.636363636364
3049,84154.1975308642
3050,73207.14285714286
3053,59481.0
3054,70194.66666666667
3055,56273.0
3058,84456.66666666667
3061,104386.0
3063,77636.0
3064,71234.77777777778
3065,104668.6
3069,54201.0
3071,55532.583333333336
3072,61012.0
3075,49717.666666666664
3077,58082.0
3084,42189.125
3087,73482.0
3092,53638.35
3095,67767.8
3097,73727.4
3101,40563.11538461538
3102,67383.5
3103,62932.0
3104,83448.6
3106,60197.555555555555
3107,74988.0
3110,61364.0
3111,65307.0
3113,60830.6
3114,60519.0
3116,66204.12
3118,70254.0
3121,68093.18181818182
3122,50591.57142857143
3125,52281.0
3126,60698.666666666664
3128,71961.0
3129,67382.0
3130,55358.0
3131,53628.0
3132,59228.05
3133,59308.40909090909
3135,61782.11111111111
3136,76536.0
3139,64445.4
3141,69473.63333333333
3142,52565.25
3143,51698.0
3144,50588.95121951219
3145,58235.875
3147,57704.77777777778
3148,72967.25
3149,61039.07142857143
3150,61155.28301886792
3151,64336.0
3152,73965.0
3153,62005.0
3154,59425.555555555555
3156,51276.20560747664
3159,57980.5
3160,39977.71428571428
3161,52332.0
3163,50202.0
3165,39661.0
3166,92969.25
3167,80819.33333333333
3171,75027.56
3172,88963.0
3179,82792.5
3180,50778.72727272727
3181,81913.2
3183,60801.666666666664
3186,65000.0
3190,53378.7
3191,56793.666666666664
3194,59243.2
3195,61832.0
3198,35863.0
3199,73849.0
3200,18081.60606060606
3201,82647.0
3202,51765.5
3205,96364.0
3207,53824.22222222222
3210,37926.89743589744
3211,30220.70731707317
3212,79572.28571428571
3213,40085.77419354839
3214,54363.0
3217,75758.0
3219,54239.3
3221,59073.0
3222,86230.18181818182
3223,59148.333333333336
3225,78665.77777777778
3227,60472.0
3229,53291.11111111111
3231,61059.3125
3232,53597.0
3235,70781.28571428571
3239,36229.3962264151
3242,39181.333333333336
3243,48099.0
3244,72721.0
3247,68307.33333333333
3248,72164.0
3249,55960.333333333336
3250,71681.375
3251,84127.0
3254,51871.78571428572
3255,49670.3
3257,57859.41176470588
3261,61429.5
3262,60662.5
3263,73506.11111111111
3265,61832.0
3266,50090.72222222222
3267,86226.0
3268,61493.3
3269,70682.16666666667
3270,78141.2
3271,70753.18181818182
3273,54642.25
3279,67439.5
3280,47668.083333333336
3281,60124.75
3284,49409.07407407407
3285,52705.05882352941
3286,57814.0
3287,48492.0
3288,47413.25
3289,47886.0
3290,66504.66666666667
3291,74473.25
3292,61922.4
3293,62805.0
3295,63129.875
3296,41305.0
3299,56130.416666666664
